Designator,Footprint,Quantity,Value,LCSC Part #
C10,CP_Radial_D6.3mm_P2.50mm,1,220uF,
"C3, C5, C6",0603,3,100nF,C14663
C7,CP_Radial_D6.3mm_P2.50mm,1,100uF,
D2,D_SMA,1,SS34,C7420365
J1,DS3231_BatteryHolder,1,Conn_01x02_Pin,
J2,JST_EH_S8B-EH_1x08_P2.50mm_Horizontal,1,Conn_01x08_Pin,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"JP2, JP4, JP5",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,3,SolderJumper_2_Open,
JP3,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels,1,SolderJumper_3_Open,
L1,L_12x12mm_H8mm,1,47uh,C167265
"Q1, Q2, Q3, Q4",SOT-23,4,BSS138,C7420339
"R1, R2",0603,2,4.7K,C23162
"R10, R7",0603,2,120,C22787
"R11, R12, R3, R4, R5, R6, R8, R9",0603,8,10K,C25804
U1,SPI_Shield,1,~,
U2,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,C107410
U3,ESP32_c6_supermini,1,ESP32_C6,
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,TJA1042T-3,C132227
U7,TO-263-5_TabPin3,1,LM2596S-5,C347421
