Designator,Footprint,Quantity,Value,LCSC Part #
C10,CP_Radial_D6.3mm_P2.50mm,1,220uF,
C11,1206,1,22uF,C478862
"C12, C3, C5, C6",0603,4,100nF,C14663
C7,CP_Radial_D6.3mm_P2.50mm,1,100uF,
C8,0805,1,10uF,C15850
C9,0805,1,100nF,C15850
D1,0603,1,LED,C2286
D2,D_SMA,1,SS34,C7420365
D3,0805,1,LED,C2297
J1,DS3231_BatteryHolder,1,Conn_01x02_Pin,
J2,JST_EH_S8B-EH_1x08_P2.50mm_Horizontal,1,Conn_01x08_Pin,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"JP2, JP4, JP5",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,3,SolderJumper_2_Open,
JP3,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels,1,SolderJumper_3_Open,
L1,L_12x12mm_H8mm,1,47uh,C167265
"R1, R2",0603,2,4.7K,C25999
"R10, R7",0603,2,120,
"R3, R4",0603,2,5.1K,C473622
"R5, R6",1206,2,10K,C431903
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,C318884
U1,SPI_Shield,1,~,
U2,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,TJA1042T-3,C132227
U7,TO-263-5_TabPin3,1,LM2596S-5,C347421
U8,ESP32-WROOM-32,1,ESP32-WROOM-32,
U9,SOT-223-3_TabPin2,1,AP1117-33,C6186
