Designator,Mid X,Mid Y,Rotation,Layer
C10,172.52822,-141.1478,0.0,top
C11,164.973,-117.1448,0.0,top
C12,169.3164,-117.1448,180.0,top
C3,136.9296,-148.971,180.0,top
C5,124.6643,-134.3152,0.0,top
C6,124.9393,-141.605,0.0,top
C7,141.1478,-153.8872,90.0,top
C8,149.7076,-134.0358,90.0,top
C9,145.8722,-125.8824,0.0,top
D1,135.001,-134.1628,0.0,top
D2,160.496,-153.8732,0.0,top
D3,149.7076,-126.4576,90.0,top
J1,125.2728,-152.4284,180.0,top
J2,117.5258,-147.6356,90.0,top
J3,169.3418,-153.924,270.0,top
L1,163.2966,-145.2626,180.0,top
R1,133.272,-148.971,180.0,top
R10,120.7527,-136.4742,180.0,top
R2,138.7584,-135.8646,180.0,top
R3,138.7094,-134.1882,0.0,top
R4,145.796,-123.9266,180.0,top
R5,135.9662,-130.0982,270.0,top
R6,139.4968,-130.0988,270.0,top
R7,120.6168,-129.35945,180.0,top
SW1,122.5296,-120.8024,270.0,top
SW2,132.334,-120.8024,90.0,top
U1,143.9543,-126.4412,180.0,bottom
U2,137.5174,-142.5194,90.0,top
U4,126.0867,-129.9464,90.0,top
U5,126.1629,-137.9728,90.0,top
U7,150.397,-145.131,270.0,top
U8,161.6398,-128.3208,270.0,top
U9,144.8308,-131.4958,270.0,top
